文章標題,作者,文章日期,文章連結,喜好程度,留言者,留言內容,留言時間
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,HCYPMGO,推,11/02 21:36
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,LYS5566,老人才回被騙,11/02 21:36
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,dan5120,$$,11/02 21:37
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,k385476916,錢,11/02 21:37
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,QEMU,年輕人也會被騙,11/02 21:37
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,empennage,21:37,11/02 21:37
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,SRNOB,21:38  Faker拿下第一場,11/02 21:38
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,zephyr105,07,11/02 21:38
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,headcase,3min,11/02 21:38
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,henokoi,喔,11/02 21:39
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,ianlin1216,2139看到 錢,11/02 21:39
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,a91031309,21:40,11/02 21:40
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,joe460830,錢錢,11/02 21:40
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,chiastsai,推,11/02 21:42
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,Or3,21:42,11/02 21:42
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,chiastsai,7mins,11/02 21:42
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,august3136,7min 推,11/02 21:42
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,gy00015,foo,11/02 21:43
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,toplvgirl,好,11/02 21:44
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,Himiko9975,09:44,11/02 21:45
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,emperor,ok,11/02 21:45
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,laybear,好ㄛ$$$3秒鐘啦,11/02 21:46
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,key7110,辛苦了 11m,11/02 21:46
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,linda17a3,錢,11/02 21:47
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,b77889999,好,11/02 22:08
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,sodistrues,推,11/02 22:30
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,abcrr123,錢,11/02 22:35
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,gilbertchen8,推,11/03 14:02
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,xyhs,1D16H,11/04 13:26
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,axsd,你吸廢氣舒服嗎,11/04 17:37
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,wc660508,錢,11/04 17:52
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,marklai,凡是要加LINE的都要懷疑,11/05 02:25
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,fur,錢錢錢,11/05 09:38
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,peanutboy,小噓，大推！,11/06 07:20
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,highyes,菜逼巴  旁邊蹲啦 = =@,11/10 10:43
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,wc660508,還有沒有發錢錢？,11/12 12:33
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,celtics1997,收到感謝,11/16 09:18
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,wc660508,推,11/16 19:12
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,blessme,錢,11/20 18:38
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,fony1029,說幹話，然後翻車了就說我就不能講錯一,11/29 11:10
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,fony1029,句？不能嘴砲一下嗎？,11/29 11:10
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,marc47,容易誤判，不建議刪文,12/02 19:09
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,davide68,請給我黃金,12/02 22:51
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,ThisisLongID,政治人物的花邊問卦要不要開放?,12/04 15:29
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,jackycheny,垃圾民進党,12/08 00:52
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,fur,錢錢錢,12/13 17:18
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,teras,全去吃屎吧！！！！！！,12/17 00:50
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,honlan,党的狗開始要抹黃了嗎 加油好嗎,12/31 09:45
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,Apple0230,哼,12/31 23:53
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,JRSmith,快樂寶拉,01/05 11:21
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,newqazwsx,佛,01/05 12:50
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,sst610505,好的,01/05 14:35
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,sst610505,我是每天看,01/05 14:35
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,sst610505,有好的文章，才留言,01/05 14:36
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,Z727808260,沒錢推小三？,01/05 16:03
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,justice2008,漲滿 就是乾脆收一收不做了,01/05 22:18
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,moai513,#公保柳丁 錢,01/07 13:27
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,AprilNH4,100,01/07 19:05
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,August2006,等開投票功能權限,01/08 07:25
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,ubcs,政治族群就會抓那篇水桶，接續政治族群回文,01/09 10:03
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,ubcs,的皆刪除,01/09 10:03
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,TISH12311,沒有政治 八卦乃至於ptt 可以廢惹,01/12 09:15
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,badbadook,https://i.imgur.com/0HYIttt.jpeg,01/12 20:51
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,ken218,感謝，好幾天後,01/12 23:44
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,lattecake,好險我夠久,01/17 22:06
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,ladioshuang,從中國考察回來的還會被黑熊說是通匪,01/18 20:33
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,bluelovered,38D,01/19 05:11
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,hwei9582905,錢,01/19 07:07
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,kkk4203,這個單位應該全砍了！不知道藏了多少綠,01/19 08:47
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,kkk4203,色加權！還不知羞恥的查無不法！,01/19 08:47
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,propfol,1,01/19 09:05
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,sun88756,好的,01/19 09:29
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,wensday,記錯了 真的是有錢人,01/19 11:43
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,hd2368,喔,01/19 13:23
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,Forcast,分類尬此,01/19 16:22
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,trkotaco,好文推一下,01/19 21:26
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,azeroth,Q_Q幹 還在姚,01/21 00:26
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,alfahsu,天佑台灣,01/21 00:26
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,jc004716,推,01/21 07:03
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,yotracy,大家還好嗎,01/21 08:48
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,dvdr2001,ok,01/21 20:41
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,kingkinggod,陳菊：煎茶院該廢掉,01/22 12:03
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,spartaucs896,讚,01/22 17:50
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,jason222333,感謝大大,01/24 08:18
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,cerberi,我覺得美國已經做到很好啦 是綠巨嬰的問,01/24 08:44
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,cerberi,題,01/24 08:44
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,x001611,選能雙持方天畫戟的 剛好200斤,01/24 13:05
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,vbjing56,20,01/25 07:26
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,s06076276,$,01/25 09:54
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,噓,xylinum,我沒收到耶！QQ,01/25 15:10
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,gtcb,其實不用真的讓民進黨剩三分之一，只要象徵,01/27 14:08
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,kshs301,2025/1/27 23:07,01/27 23:07
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,shoungson,推,01/30 15:21
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,wilson5938,推,02/03 23:27
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,FatFatFace,推推,02/07 12:51
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,→,PttWaHaha,党： I'm watching  you !,02/08 08:00
Fw: [公告] 請留意新註冊帳號使用信件詐騙,ubcs,11/02,https://www.ptt.cc/bbs/Gossiping/M.1730554547.A.41C.html,推,KurtMike,推,02/09 18:11
