文章標題,作者,文章日期,文章連結,喜好程度,留言者,留言內容,留言時間
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,tw00053142,錢錢,03/28 15:43
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,fairymomo,好,03/28 15:44
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,ShadowKuo,22M,03/28 15:45
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,s820912gmail,錢,03/28 15:45
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,BBScom,26M,03/28 15:49
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,blessme,錢,03/28 15:50
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Lailungsheng,因為非綠的怕被插水表...（認真,03/28 15:50
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,key7110,辛苦了 27m,03/28 15:50
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,QooSnow,（板主！）（加油！）（終能）（撥雲見日,03/28 15:50
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,chopper594,之後要忙了沒空管 而且有一堆瘋子,03/28 15:52
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,hwei9582905,錢,03/28 15:52
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,swimming5445,推,03/28 15:53
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Yyyyyy,$,03/28 15:53
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,taiwan08,只好繼續連任了,03/28 15:54
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,噓,Stunts,任期到了就趕快下台,03/28 15:58
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,PalmAngels,又看了一集,03/28 16:02
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,s3523114,錢,03/28 16:03
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,qscxz,22min,03/28 16:06
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,SaintSeven,隔離區趕快再派文盲來給大家酵啊xDDDD,03/28 16:14
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,zhicong,54分,03/28 16:17
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,mikehu,57m,03/28 16:20
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,awe1030,58m,03/28 16:21
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,losec0614,59m,03/28 16:22
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,induse,1H,03/28 16:23
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,fatyi,推,03/28 16:26
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Solonius,1小 https://i.imgur.com/rfIVLf0.jpeg,03/28 16:28
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,lpbrother,改成三權分立好了,03/28 16:35
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,qtgary,推,03/28 16:46
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,pcly,錢,03/28 16:49
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Forcast,四位感覺不夠,03/28 16:51
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,sukiyasuica,錢,03/28 16:55
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,spectron,好的 17：25,03/28 17:03
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,psychohero,錢,03/28 17:09
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,gaiaesque,我好像5分鐘內就看到了?,03/28 17:30
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,tmgg,33M,03/28 17:33
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,RGBB,推,03/28 17:46
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,applejim,ubcs 和盒盒，等你們,03/28 18:04
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,zealotlai274,推，2h32m,03/28 18:05
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,hippo998,純推，當選門檻才幾百票，還有人噴“都,03/28 18:33
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,hippo998,是你們這幾位在當”是什麼邏輯鬼才,03/28 18:33
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,hippo998,有本事有人望洗個上千票就能幹掉老屁股,03/28 18:33
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,hippo998,啊，打不過就想從改規則下手是吧,03/28 18:33
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,a826451115,3h,03/28 18:40
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,hippo998,"上一屆選舉數據: 共有 239 人投票,每人",03/28 18:43
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,hippo998,最多可投 2 票(53票當選要改什麼規則),03/28 18:43
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,speak,OK,03/28 18:47
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,xyhs,推,03/28 18:58
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,RognerLiu,去投票,03/28 19:03
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Lucas0510,錢,03/28 19:07
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,angelology,推,03/28 19:27
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,SaintSeven,http://i.imgur.com/Mdr8N2O.jpg 賊個,03/28 19:30
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,thepstar,Oh Noooooooo!,03/28 19:33
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,MA40433,這是屎缺。喜歡這味的報名,03/28 19:55
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,jenbon,前,03/28 20:07
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,anglesong,可憐 連清潔員都有薪水了 八卦版主沒,03/28 20:07
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,anglesong,支薪,03/28 20:07
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,s06076276,$,03/28 20:17
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,uavan,5h8m,03/28 20:32
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,jimmy0204123,21:52,03/28 21:52
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Joyeeee,7.5h,03/28 22:57
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,wild2012,實際上 就都是那幾位 在選 那何必選?,03/28 23:44
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,wild2012,反正投票的也只是看 這ID我知道 就投了,03/28 23:44
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,wild2012,會投票的也就那些人了 不投的還是不投,03/28 23:46
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,CalmEarth,推,03/28 23:56
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,YHOTV4096,天災、人禍、傳染病必講，總會中1個，,03/29 00:10
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,YHOTV4096,抱歉推錯篇。,03/29 00:10
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,angel902037,他手抖 都講幾年了 還沒死ㄟ,03/29 01:31
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,angel902037,靠背為啥會變來這邊 推錯篇,03/29 01:32
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,busin,$,03/29 01:51
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,tsainalunba4,30cm,03/29 05:43
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,fernand,推,03/29 06:11
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,kevinlee09,18hr28min.,03/29 09:51
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,gilbertchen8,推,03/29 10:18
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,ptt888,推,03/29 10:56
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,kobegasol,推,03/29 11:20
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,lxhqq,推推，辛苦了,03/29 11:24
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,laugh8562,你很棒,03/29 11:30
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,starwillow,好,03/29 11:49
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,axi,$,03/29 14:50
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,elainechain,1D3H56M,03/29 19:19
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,gogan,推,03/29 19:30
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,godiegroup,21：11,03/29 21:11
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,koreawargod,不可能啦 委任律師幹三小吃的,03/29 21:11
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,mysterious21,1D6H20M,03/29 21:43
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,sodistrues,6m,03/29 21:44
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,zangif,嗚嗚嗚,03/29 23:58
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,a000703,6M,03/29 23:58
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,brokenback3,了解,03/30 00:10
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,→,kourin,建設國家太難了，搞政敵簡單多了。,03/30 05:19
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,avada,推,03/30 08:57
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,dan5120,$$,03/30 10:21
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,mayzone,推,03/30 10:53
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,waitsun,推,03/30 11:21
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,噓,truechk,綠鴉還差不多,03/30 12:30
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,TDOO,好的,03/30 12:54
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,kurenai911,推,03/30 17:01
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,rose01,推,03/30 18:53
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,yylzvv,錢,03/30 20:43
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,jkl85621,錢,03/30 21:46
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Tommy92C,有錢發的繼續連任吧,03/31 03:54
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,Dhack5321,辛苦了,03/31 09:25
[公告] 八卦板主徵選規則修正&截止時間,ubcs,3/28,https://www.ptt.cc/bbs/Gossiping/M.1743146619.A.5A2.html,推,MA40433,喔。這是屎缺,03/31 13:22
